seed,r
7,0.5
7,-0.5
7,0.5
7,0
7,0
7,0
7,0
7,-0.5
7,0
7,0.5
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,1
7,0
7,-1.5
7,0.5
7,0.5
7,0.5
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,-0.5
7,0.5
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,-0.5
7,0
7,0.5
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,-0.5
7,0
7,0
7,0
7,0
7,0
7,0.5
7,0
7,0
7,-0.5
7,0.5
7,-0.5
7,0.5
7,0
7,0
7,0
7,0
7,-0.5
7,0.5
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,-0.5
7,0.5
7,0
7,0
7,-0.5
7,0
7,0
7,0.5
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,-0.5
7,0.5
7,0
7,0
7,0
7,0
7,-0.5
7,0.5
7,-0.5
7,0.5
7,-0.5
7,0.5
7,0
7,0
7,0
7,0
7,-0.5
7,0.5
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,1
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,-0.5
7,0
7,0.5
7,0
7,0
7,0
7,0
7,0
7,-0.5
7,0.5
7,0
7,-0.5
7,0.5
7,0
7,0
7,0
7,0
7,0
7,-0.5
7,0.5
7,0
7,-0.5
7,0
7,0.5
7,0
7,-0.5
7,0
7,0.5
7,-0.5
7,0.5
7,0
7,0
7,0
7,0
7,0
7,0
7,-0.5
7,0
7,0.5
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,-0.5
7,0.5
7,0
7,-0.5
7,0.5
7,0
7,-0.5
7,0.5
7,-0.5
7,0.5
7,0
7,-0.5
7,0.5
7,0
7,0
7,0
7,0
7,-0.5
7,0
7,0
7,0.5
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,0
7,-0.5
8,0
8,1
8,1
8,0
8,1
8,0.5
8,0
8,0
8,0
8,0
8,-0.5
8,0
8,0
8,0
8,0.5
8,-0.5
8,1
8,0.5
8,0
8,-1.5
8,0.5
8,-1.5
8,-1
8,0
8,1
8,0.5
8,-1.5
8,-1.5
8,-0.5
8,-0.5
8,0.5
8,0
8,0
8,0.5
8,-0.5
8,1.5
8,0
8,0
8,-0.5
8,0.5
8,0
8,-0.5
8,0.5
8,-0.5
8,1.5
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,1
8,-1
8,0.5
8,0.5
8,-0.5
8,0.5
8,-1
8,0.5
8,0.5
8,0
8,0
8,-0.5
8,0
8,0
8,0
8,0.5
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,-0.5
8,0
8,0
8,0
8,0.5
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0.5
8,0.5
8,-0.5
8,0
8,0
8,0
8,0.5
8,0
8,-0.5
8,0
8,0
8,0.5
8,0
8,0
8,0
8,0
8,-0.5
8,0.5
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,-0.5
8,0
8,0
8,0.5
8,-0.5
8,0
8,0.5
8,0
8,-0.5
8,0
8,0
8,0.5
8,-0.5
8,0
8,0.5
8,-0.5
8,0.5
8,0
8,0
8,-0.5
8,0
8,0.5
8,0
8,0
8,0
8,0
8,0
8,0
8,-0.5
8,0
8,0.5
8,0
8,0
8,0
8,-0.5
8,0
8,0
8,0
8,0.5
8,0
8,0
8,0
8,0
8,0
8,-0.5
8,0.5
8,-0.5
8,0
8,0
8,0.5
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,-0.5
8,0.5
8,-0.5
8,0.5
8,0
8,-0.5
8,0
8,0
8,0.5
8,1
8,-0.5
8,0
8,0.5
8,0
8,-1
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,-0.5
8,0.5
8,0
8,0
8,0
8,0
8,1
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,-0.5
8,0
8,0
8,0
8,0.5
8,-0.5
8,0.5
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,0
8,-0.5
8,0
8,0.5
8,0
8,0
8,0
8,0
8,-0.5
8,0
8,0
8,0
8,0
8,0
8,0.5
8,-0.5
8,0
8,0
8,0
8,0.5
8,0
8,0
8,0
8,0
8,-0.5
8,0
8,0
8,0
8,0.5
9,-3.5
9,0
9,-0.5
9,2
9,2
9,0
9,0
9,0.5
9,0
9,-0.5
9,0.5
9,0
9,0
9,-2.5
9,-2
9,1
9,-0.5
9,0.5
9,0
9,0.5
9,0.5
9,0.5
9,0
9,0
9,0.5
9,1
9,1
9,0.5
9,0
9,1
9,1
9,0
9,0
9,0
9,0
9,-0.5
9,0
9,0
9,0
9,0.5
9,0.5
9,0.5
9,-0.5
9,0.5
9,-3
9,0.5
9,0
9,1.5
9,0
9,0
9,-1.5
9,0
9,0
9,1
9,-1
9,0
9,-1
9,0
9,0
9,0
9,0
9,0
9,0.5
9,0
9,0.5
9,0.5
9,-2.5
9,0
9,0.5
9,-0.5
9,0.5
9,0
9,0
9,0
9,0
9,0.5
9,0.5
9,0
9,0
9,0
9,-0.5
9,0
9,0.5
9,0
9,-0.5
9,0
9,0.5
9,0
9,0
9,0
9,0
9,-0.5
9,0.5
9,0.5
9,-0.5
9,-0.5
9,1
9,0.5
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,-0.5
9,0.5
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,-0.5
9,0.5
9,-0.5
9,0
9,0.5
9,0
9,0
9,0
9,0
9,0
9,0.5
9,0.5
9,0
9,0
9,0
